title,company_name,email,tel,salary_type,wage,employment_type,tags,calorie,steps,exercise_level,full_address,walking_minutes
工事現場サポート,スピード引越センター,dummy-recruit@example.com,03-0000-0000,日給,9379,アルバイト,屋内作業/立ちっぱなし/歩く時間が多い/上半身/全身,310,6440,5,神奈川県横浜市西区高島4-16-27 横浜市西区ビル645,13
スーパー品出しスタッフ,みどりファーム,dummy-recruit@example.com,03-0000-0000,日給,10213,パートタイム,重いものを持つ/下半身/屋外作業/立ちっぱなし/上半身,358,3559,3,東京都港区六本木4-5-16 港区ビル742,5
宅配仕分けスタッフ,シティホテルサービス株式会社,dummy-recruit@example.com,03-0000-0000,日給,10718,アルバイト,屋外作業/歩く時間が多い/上半身/屋内作業/下半身,227,4109,3,東京都新宿区西新宿3-10-9 新宿区ビル710,14
清掃スタッフ,クリーンサポート東京,dummy-recruit@example.com,03-0000-0000,時給,1365,パートタイム,屋外作業/上半身/体幹/下半身,262,4971,5,東京都中央区銀座2-20-4 中央区ビル272,11
スーパー品出しスタッフ,東都ロジスティクス株式会社,dummy-recruit@example.com,03-0000-0000,時給,1334,アルバイト,体幹/屋外作業/下半身/上半身/屋内作業,345,7283,2,千葉県船橋市本町3-10-13 船橋市ビル826,10
清掃スタッフ,シティホテルサービス株式会社,dummy-recruit@example.com,03-0000-0000,時給,1303,パートタイム,重いものを持つ/繰り返し動作が多い/下半身,444,7309,5,東京都渋谷区道玄坂5-8-8 渋谷区ビル573,10
引越しアシスタント,シティホテルサービス株式会社,dummy-recruit@example.com,03-0000-0000,日給,9746,アルバイト,屋外作業/体幹/歩く時間が多い/下半身,287,4956,2,東京都新宿区西新宿1-1-6 新宿区ビル863,15
清掃スタッフ,クリーンサポート東京,dummy-recruit@example.com,03-0000-0000,時給,1125,アルバイト,重いものを持つ/屋外作業/屋内作業/下半身,209,5064,5,東京都豊島区池袋2-1-1 豊島区ビル841,14
宅配仕分けスタッフ,みどりファーム,dummy-recruit@example.com,03-0000-0000,時給,1118,パートタイム,屋外作業/下半身/歩く時間が多い,264,6718,4,神奈川県川崎市川崎区駅前本町4-19-21 川崎市川崎区ビル489,15
イベント設営スタッフ,クイックデリバリー株式会社,dummy-recruit@example.com,03-0000-0000,時給,1404,パートタイム,下半身/歩く時間が多い/立ちっぱなし,210,5209,4,東京都品川区大崎4-15-12 品川区ビル370,10
工事現場サポート,クイックデリバリー株式会社,dummy-recruit@example.com,03-0000-0000,日給,11801,パートタイム,歩く時間が多い/屋内作業/上半身/屋外作業,219,4430,3,東京都千代田区丸の内1-3-16 千代田区ビル860,9
宅配仕分けスタッフ,みどりファーム,dummy-recruit@example.com,03-0000-0000,日給,13055,パートタイム,重いものを持つ/上半身/屋内作業/立ちっぱなし/体幹,411,7973,3,千葉県千葉市中央区富士見3-3-12 千葉市中央区ビル468,3
イベント設営スタッフ,スピード引越センター,dummy-recruit@example.com,03-0000-0000,日給,13005,アルバイト,下半身/屋外作業/体幹/上半身/重いものを持つ,352,6769,2,神奈川県川崎市川崎区駅前本町4-16-3 川崎市川崎区ビル507,11
農園収穫スタッフ,グリーンマート株式会社,dummy-recruit@example.com,03-0000-0000,日給,11294,パートタイム,下半身/繰り返し動作が多い/屋外作業/上半身,379,7724,5,神奈川県川崎市川崎区駅前本町4-2-20 川崎市川崎区ビル326,4
引越しアシスタント,シティホテルサービス株式会社,dummy-recruit@example.com,03-0000-0000,時給,1458,パートタイム,上半身/体幹/屋内作業/下半身,208,6540,5,東京都渋谷区道玄坂2-19-16 渋谷区ビル314,8
宅配仕分けスタッフ,東日本配送センター,dummy-recruit@example.com,03-0000-0000,日給,13269,パートタイム,下半身/全身/屋外作業/立ちっぱなし,403,5903,3,東京都渋谷区道玄坂3-5-23 渋谷区ビル477,8
宅配仕分けスタッフ,みどりファーム,dummy-recruit@example.com,03-0000-0000,時給,1406,アルバイト,全身/歩く時間が多い/体幹,368,4692,3,神奈川県川崎市川崎区駅前本町5-6-23 川崎市川崎区ビル772,8
宅配仕分けスタッフ,スピード引越センター,dummy-recruit@example.com,03-0000-0000,時給,1416,アルバイト,歩く時間が多い/体幹/繰り返し動作が多い,295,5849,2,千葉県千葉市中央区富士見3-13-21 千葉市中央区ビル849,15
清掃スタッフ,みどりファーム,dummy-recruit@example.com,03-0000-0000,日給,10904,パートタイム,繰り返し動作が多い/全身/歩く時間が多い/立ちっぱなし/下半身,269,7480,4,東京都港区六本木1-9-6 港区ビル356,15
イベント設営スタッフ,関東建設サポート有限会社,dummy-recruit@example.com,03-0000-0000,日給,12751,アルバイト,屋外作業/上半身/全身/歩く時間が多い,423,5987,4,東京都新宿区西新宿2-13-5 新宿区ビル320,6
工事現場サポート,スピード引越センター,dummy-recruit@example.com,03-0000-0000,時給,1180,パートタイム,屋内作業/上半身/全身/繰り返し動作が多い/体幹,409,6344,5,東京都中央区銀座4-14-3 中央区ビル649,6
農園収穫スタッフ,イベントプロダクションJP,dummy-recruit@example.com,03-0000-0000,時給,1257,アルバイト,歩く時間が多い/下半身/全身/屋内作業,263,4517,4,東京都千代田区丸の内5-16-28 千代田区ビル654,7
宅配仕分けスタッフ,スピード引越センター,dummy-recruit@example.com,03-0000-0000,時給,1493,パートタイム,上半身/重いものを持つ/立ちっぱなし,339,7820,2,東京都豊島区池袋1-15-29 豊島区ビル160,11
引越しアシスタント,東都ロジスティクス株式会社,dummy-recruit@example.com,03-0000-0000,日給,12772,パートタイム,体幹/下半身/屋内作業,436,4649,5,東京都千代田区丸の内2-6-3 千代田区ビル457,6
倉庫内ピッキングスタッフ,イベントプロダクションJP,dummy-recruit@example.com,03-0000-0000,日給,13908,パートタイム,屋外作業/立ちっぱなし/下半身/屋内作業/重いものを持つ,391,4532,5,東京都千代田区丸の内2-4-7 千代田区ビル894,4
スーパー品出しスタッフ,シティホテルサービス株式会社,dummy-recruit@example.com,03-0000-0000,時給,1376,アルバイト,全身/下半身/上半身,353,4631,2,千葉県千葉市中央区富士見2-16-10 千葉市中央区ビル799,4
清掃スタッフ,東都ロジスティクス株式会社,dummy-recruit@example.com,03-0000-0000,時給,1159,アルバイト,下半身/歩く時間が多い/屋内作業/全身,409,3950,4,神奈川県横浜市西区高島1-4-25 横浜市西区ビル452,14
イベント設営スタッフ,東都ロジスティクス株式会社,dummy-recruit@example.com,03-0000-0000,日給,11794,アルバイト,繰り返し動作が多い/下半身/全身,326,7854,5,神奈川県横浜市西区高島2-17-18 横浜市西区ビル803,7
スーパー品出しスタッフ,クイックデリバリー株式会社,dummy-recruit@example.com,03-0000-0000,時給,1390,パートタイム,屋内作業/体幹/全身,375,6246,2,東京都渋谷区道玄坂4-4-15 渋谷区ビル832,3
イベント設営スタッフ,グリーンマート株式会社,dummy-recruit@example.com,03-0000-0000,時給,1209,アルバイト,重いものを持つ/屋内作業/立ちっぱなし,235,4073,5,東京都港区六本木1-19-25 港区ビル141,8
清掃スタッフ,クイックデリバリー株式会社,dummy-recruit@example.com,03-0000-0000,日給,9200,アルバイト,上半身/屋内作業/重いものを持つ/歩く時間が多い/体幹,232,4375,4,神奈川県川崎市川崎区駅前本町5-1-1 川崎市川崎区ビル972,6
工事現場サポート,関東建設サポート有限会社,dummy-recruit@example.com,03-0000-0000,日給,11987,パートタイム,立ちっぱなし/歩く時間が多い/繰り返し動作が多い,400,6896,3,東京都千代田区丸の内5-7-26 千代田区ビル309,11
スーパー品出しスタッフ,イベントプロダクションJP,dummy-recruit@example.com,03-0000-0000,時給,1072,アルバイト,立ちっぱなし/下半身/繰り返し動作が多い,359,5055,3,東京都世田谷区三軒茶屋1-15-21 世田谷区ビル500,5
